식당(ID),식당명,지점명,지역명,네이버평점
22648,마포소금구이,인천본점,연수구,4.53
22649,송도국제경양식,,연수구,4.12
22650,명가한방삼계탕,인천본점,부평구,4.55
22651,동해참치,,미추홀구,4.25
22652,만송골 갈비탕,계양점,계양구,4.3
22653,쭈돈나라,,미추홀구,4.36
22654,두루치기&숯불장어,본점,미추홀구,4.31
22655,착한낙지,주안점,미추홀구,4.32
22656,한우마을,,미추홀구,4.33
22657,방일해장국,연수점,연수구,4.15
22658,도쿄하나,송도점,연수구,4.46
22660,아우라지,,계양구,4.6
22661,논현코다리냉면,,남동구,4.4
22662,백제원,송도점,연수구,4.29
22663,오아라쭈꾸미,인천구월점,남동구,4.43
22664,무한버섯나라,송림점,동구,4.31
22665,석정,,동구,4
22666,원플레이트,,강화군,4.61
22667,곤드레愛찬,,미추홀구,
22668,나삼보해물가,,미추홀구,4.33
22669,묵은지삼겹살 매운갈비찜,신기점,미추홀구,4.38
22671,조은삼계탕,부평시장점,부평구,4.37
22672,모심갈비,,남동구,4.57
22674,안동찜닭,,미추홀구,4.52
22675,산곡축산이야기,,부평구,4.1
22676,향이랑,부평점,부평구,4.5
22677,본화로왕소금구이,,부평구,4.42
22678,아우라지 메기 매운탕,연수점,연수구,4.4
22679,조박사 갈비명가,,미추홀구,
22680,무한버섯나라,,미추홀구,
22681,육봉달,용현점,미추홀구,4.32
22682,유진초밥,,남동구,4.35
22683,인현통닭삼계탕,,남동구,4.39
22684,주원일식,,남동구,4.5
22685,고가뫼고쌈냉면,본점,남동구,4.33
22686,신두리,,남동구,4.29
22687,신기면옥,,미추홀구,
22688,수림공원가든,,남동구,4.35
22689,논골집,주안점,미추홀구,4.5
22690,바다해물탕,,남동구,4.24
22691,유달산,,남동구,4.21
22692,만수동화로구이,,남동구,4.26
22693,만수숯불갈비,,남동구,4.27
22694,고려한방삼계탕,,미추홀구,4.44
22695,닭이봉춘천닭갈비,신기점,미추홀구,4.45
22696,풍년꽃게,,연수구,4.52
22697,전라도 삼합,,연수구,4.12
22698,수밀원,,연수구,4.11
22699,이화찹쌀순대,,남동구,4.4
22700,석빈가든,,남동구,4.3
22701,서촌이가,,부평구,4.3
22702,전통복회관,,부평구,4.51
22703,남도해물탕,,부평구,4.22
22704,대가손두부,,부평구,4.42
22705,해안선,,연수구,4.26
22706,백암왕순대,,연수구,4.39
22707,아리아리랑,,연수구,
22708,금강메기매운탕,,연수구,4.29
22709,남대감꽃게아구점문점,,부평구,4.09
22711,우정숯불갈비,,부평구,4.33
22712,전원,,부평구,4.47
22713,백암왕순대,연수본점,연수구,4.42
22715,굴세상,,연수구,4.37
22716,서해왕해물찜,,강화군,4.28
22717,산촌,,강화군,4.53
22719,새벽해장국,,강화군,4.39
22720,신박사가,부개점,부평구,
22721,야자수숯불가든,,강화군,
22722,한자리한턱,,강화군,4.32
22723,충남서산집,,강화군,4.12
22724,은성횟집,,강화군,4.07
22725,외포횟집,,강화군,4.28
22726,장원토종마을,,옹진군,
22727,바람의마을,,옹진군,4.22
22728,용흥궁,,강화군,4.44
22729,남촌,,부평구,4.36
22730,본전삼계탕,,미추홀구,4.5
22731,감자탕을 만드는 형제들,,미추홀구,4.38
22732,전라도회집,,부평구,4.36
22733,동춘사골순대국,동춘점,연수구,4.45
22734,닭이봉 춘천닭갈비,계산점,계양구,4.42
22735,전주돌솥밥,,계양구,4.35
22736,정윤기 황칠낙지,본점,연수구,4.45
22737,금바위감자탕,계양점,계양구,4.26
22738,사랑채,,옹진군,3.96
22739,시골메밀칼국수,,옹진군,4.39
22740,영흥가든,,옹진군,4.42
22741,북경손짜장,선재도 본점,옹진군,4.29
22742,성원닭갈비,,계양구,4.53
22743,부산복집,,계양구,4.24
22744,등촌샤브칼국수,서구점,서구,4.49
22745,희래등,,서구,
22746,영빈관,,서구,4.32
22747,촌장골,서구청점,서구,4.28
22748,낙지한마당,,서구,4.23
22749,섬진강,,서구,3.81
22750,두리문설렁탕,,서구,4.24
22751,강촌토종삼계탕,,남동구,4.34
22752,송미옥,,동구,4
22753,돈앤우숯불소금구이,부평점,부평구,4.13
22754,명가원설농탕,인천점,부평구,4.31
22755,미락해물탕,,계양구,4.6
22756,백암왕순대,본점,계양구,4.37
22758,뉴욕바다가재,계양점,계양구,4.4
22759,e-스테이션,,미추홀구,
22761,끝판왕무한리필,,남동구,4.18
22762,인브스키친,,부평구,4.51
22764,싱싱회종합어시장,부평점,부평구,4.4
22765,참조은복집,,서구,4.55
22766,아메리칸트레이,부평점,부평구,4.45
22767,남촌칼국수,,남동구,4.35
22768,우향생고기,,계양구,4.53
22770,황소마을,,강화군,4.41
22771,황금생돼지,,계양구,3.91
22772,송도 주막,,연수구,4.3
22774,통큰소한마리,,남동구,4.42
22776,송돗골,,연수구,4.38
22777,금산식당,학익점,미추홀구,4.36
22778,덕용푸드시스템,,연수구,4.25
22780,최가네통돼지김치찌개,,남동구,4.35
22781,산촌샤브샤브칼국수,,부평구,4.53
22782,경복궁,송림점,서구,4.25
22783,삿뽀로,송림점,서구,4.39
22784,삼삼구이,,옹진군,4.56
22785,춘향골남원추어탕,인천송도점,연수구,4.34
22786,능이버섯백숙 향계,,남동구,4.47
22787,새마을식당,주안역점,미추홀구,4.38
22788,송도명품 삼계탕,,연수구,4.23
22789,쌀보리밥,,강화군,
22790,강화꽃게집,,강화군,4.47
22791,피에스타,,연수구,4.31
22792,우정일식,,중구,4.41
22793,김정문설렁탕,,부평구,4.35
22794,외포왕꽃게탕,,강화군,4.37
22795,공화춘,,중구,4.09
22796,왕자정묵밥,,강화군,4.4
22797,프레페랑스,,서구,4.6
22798,장수촌,,부평구,4.32
22799,꾸지뽕삼계탕,,중구,4.36
22800,전가복,,남동구,4.43
22801,원조선창집장어구이,,강화군,4.33
22802,성진아구,,연수구,4.08
22803,신성복집,,중구,4.1
22804,진흥각,,중구,4.37
22805,초심,,남동구,4.39
22806,청실홍실,주안직영점,미추홀구,4.42
22807,우리밀중화요리,,부평구,4.27
22808,소장군,부평점,부평구,4.23
22810,풍천민물장어,,동구,4
