"행정구역","2026년04월_거주자_총인구수","2026년04월_거주자_연령구간인구수","2026년04월_거주자_0~9세","2026년04월_거주자_10~19세","2026년04월_거주자_20~29세","2026년04월_거주자_30~39세","2026년04월_거주자_40~49세","2026년04월_거주자_50~59세","2026년04월_거주자_60~69세","2026년04월_거주자_70~79세","2026년04월_거주자_80~89세","2026년04월_거주자_90~99세","2026년04월_거주자_100세 이상","2026년04월_남_거주자_총인구수","2026년04월_남_거주자_연령구간인구수","2026년04월_남_거주자_0~9세","2026년04월_남_거주자_10~19세","2026년04월_남_거주자_20~29세","2026년04월_남_거주자_30~39세","2026년04월_남_거주자_40~49세","2026년04월_남_거주자_50~59세","2026년04월_남_거주자_60~69세","2026년04월_남_거주자_70~79세","2026년04월_남_거주자_80~89세","2026년04월_남_거주자_90~99세","2026년04월_남_거주자_100세 이상","2026년04월_여_거주자_총인구수","2026년04월_여_거주자_연령구간인구수","2026년04월_여_거주자_0~9세","2026년04월_여_거주자_10~19세","2026년04월_여_거주자_20~29세","2026년04월_여_거주자_30~39세","2026년04월_여_거주자_40~49세","2026년04월_여_거주자_50~59세","2026년04월_여_거주자_60~69세","2026년04월_여_거주자_70~79세","2026년04월_여_거주자_80~89세","2026년04월_여_거주자_90~99세","2026년04월_여_거주자_100세 이상"
"경기도 부천시 (4119000000)","752,812","752,812","37,944","61,389","83,311","103,659","109,313","130,814","132,238","64,745","24,837","4,455","107","370,289","370,289","19,387","31,461","42,007","53,792","55,540","63,655","63,624","30,476","9,305","1,028","14","382,523","382,523","18,557","29,928","41,304","49,867","53,773","67,159","68,614","34,269","15,532","3,427","93"
"경기도 부천시 원미구 (4119200000)","380,986","380,986","19,347","31,564","44,281","54,829","55,907","65,547","65,186","30,664","11,417","2,190","54","186,429","186,429","9,811","16,123","21,929","28,061","28,037","31,660","31,405","14,600","4,292","505","6","194,557","194,557","9,536","15,441","22,352","26,768","27,870","33,887","33,781","16,064","7,125","1,685","48"
"경기도 부천시 소사구 (4119400000)","223,716","223,716","13,080","19,363","22,191","29,840","34,730","36,707","37,869","20,766","7,786","1,350","34","109,338","109,338","6,728","9,861","11,220","15,349","17,591","17,831","17,693","9,659","3,079","323","4","114,378","114,378","6,352","9,502","10,971","14,491","17,139","18,876","20,176","11,107","4,707","1,027","30"
"경기도 부천시 오정구 (4119600000)","148,110","148,110","5,517","10,462","16,839","18,990","18,676","28,560","29,183","13,315","5,634","915","19","74,522","74,522","2,848","5,477","8,858","10,382","9,912","14,164","14,526","6,217","1,934","200","4","73,588","73,588","2,669","4,985","7,981","8,608","8,764","14,396","14,657","7,098","3,700","715","15"
"경기도 광명시 (4121000000)","301,963","301,963","19,076","28,068","33,161","44,949","46,818","51,299","43,738","23,882","9,256","1,673","43","147,802","147,802","9,770","14,262","16,875","22,979","23,207","25,015","20,879","10,978","3,444","383","10","154,161","154,161","9,306","13,806","16,286","21,970","23,611","26,284","22,859","12,904","5,812","1,290","33"
"경기도 평택시 (4122000000)","613,662","613,662","46,261","59,045","71,887","100,437","100,739","101,863","76,357","36,632","17,352","3,024","65","322,409","322,409","23,514","30,073","40,193","56,747","54,900","53,631","39,401","16,821","6,368","750","11","291,253","291,253","22,747","28,972","31,694","43,690","45,839","48,232","36,956","19,811","10,984","2,274","54"
"경기도 동두천시 (4125000000)","85,618","85,618","3,481","7,319","8,294","8,239","10,914","15,548","15,566","9,779","5,557","904","17","42,638","42,638","1,796","3,711","4,418","4,496","5,584","8,097","7,926","4,340","2,010","256","4","42,980","42,980","1,685","3,608","3,876","3,743","5,330","7,451","7,640","5,439","3,547","648","13"
"경기도 안산시 (4127000000)","606,700","606,700","28,825","51,838","80,120","82,454","83,046","118,585","101,142","39,733","17,456","3,405","96","310,377","310,377","14,703","26,538","42,563","45,723","43,424","59,100","52,479","18,876","6,189","764","18","296,323","296,323","14,122","25,300","37,557","36,731","39,622","59,485","48,663","20,857","11,267","2,641","78"
"경기도 안산시 상록구 (4127100000)","319,321","319,321","13,716","27,715","43,276","40,671","43,047","63,729","53,762","21,337","10,125","1,892","51","162,874","162,874","7,013","14,103","23,113","22,621","22,374","31,673","27,947","10,016","3,554","451","9","156,447","156,447","6,703","13,612","20,163","18,050","20,673","32,056","25,815","11,321","6,571","1,441","42"
"경기도 안산시 단원구 (4127300000)","287,379","287,379","15,109","24,123","36,844","41,783","39,999","54,856","47,380","18,396","7,331","1,513","45","147,503","147,503","7,690","12,435","19,450","23,102","21,050","27,427","24,532","8,860","2,635","313","9","139,876","139,876","7,419","11,688","17,394","18,681","18,949","27,429","22,848","9,536","4,696","1,200","36"
"경기도 고양시 (4128000000)","1,051,628","1,051,628","60,358","94,937","116,914","143,406","155,275","192,118","161,816","77,359","41,223","8,052","170","511,166","511,166","30,866","48,312","58,441","71,997","76,193","92,727","79,793","35,544","15,028","2,232","33","540,462","540,462","29,492","46,625","58,473","71,409","79,082","99,391","82,023","41,815","26,195","5,820","137"
"경기도 고양시 덕양구 (4128100000)","481,199","481,199","30,316","40,375","50,244","70,110","73,239","83,108","73,344","37,721","19,242","3,419","81","235,515","235,515","15,546","20,508","25,159","35,154","36,859","40,885","36,169","17,215","7,105","900","15","245,684","245,684","14,770","19,867","25,085","34,956","36,380","42,223","37,175","20,506","12,137","2,519","66"
"경기도 고양시 일산동구 (4128500000)","295,481","295,481","16,152","26,667","34,847","40,807","43,064","55,078","45,381","20,218","10,805","2,419","43","143,090","143,090","8,212","13,659","17,051","20,438","20,915","26,347","22,420","9,465","3,905","670","8","152,391","152,391","7,940","13,008","17,796","20,369","22,149","28,731","22,961","10,753","6,900","1,749","35"
"경기도 고양시 일산서구 (4128700000)","274,948","274,948","13,890","27,895","31,823","32,489","38,972","53,932","43,091","19,420","11,176","2,214","46","132,561","132,561","7,108","14,145","16,231","16,405","18,419","25,495","21,204","8,864","4,018","662","10","142,387","142,387","6,782","13,750","15,592","16,084","20,553","28,437","21,887","10,556","7,158","1,552","36"
"경기도 과천시 (4129000000)","79,848","79,848","8,098","8,261","7,981","12,177","12,890","11,834","10,601","5,053","2,378","559","16","38,880","38,880","4,138","4,193","4,023","5,837","6,373","5,633","5,161","2,402","948","168","4","40,968","40,968","3,960","4,068","3,958","6,340","6,517","6,201","5,440","2,651","1,430","391","12"
